time,lat,lon
2024-07-11T10:00:58.871379166Z,{"lat":10.743201929154566,"lon":106.63212714726723}
2024-07-11T10:00:59.885387198Z,{"lat":10.743198785940876,"lon":106.63214357579744}
2024-07-11T10:01:00.911255967Z,{"lat":10.743197067650726,"lon":106.63215916613734}
2024-07-11T10:01:01.927185761Z,{"lat":10.743192625242045,"lon":106.63217400210596}
2024-07-11T10:01:02.931142515Z,{"lat":10.743188853385618,"lon":106.63218783224619}
2024-07-11T10:01:03.936988545Z,{"lat":10.74318428524839,"lon":106.63219973454869}
2024-07-11T10:01:04.950176059Z,{"lat":10.74318063912051,"lon":106.63221188830829}
2024-07-11T10:01:05.949991538Z,{"lat":10.743178334097138,"lon":106.6322251317153}
2024-07-11T10:01:06.951351728Z,{"lat":10.743177956911495,"lon":106.63223795602715}
2024-07-11T10:01:07.962363619Z,{"lat":10.74317841791617,"lon":106.63225212144351}
2024-07-11T10:01:08.959994851Z,{"lat":10.743175651888123,"lon":106.6322682146976}
2024-07-11T10:01:09.979975559Z,{"lat":10.743172508674434,"lon":106.63228481086588}
2024-07-11T10:01:11.001073769Z,{"lat":10.74316869490849,"lon":106.63229973065353}
2024-07-11T10:01:12.011589642Z,{"lat":10.743166725161245,"lon":106.63231624300278}
2024-07-11T10:01:13.016899125Z,{"lat":10.743165551694801,"lon":106.63233510228491}
2024-07-11T10:01:14.028258073Z,{"lat":10.743165845061412,"lon":106.63235421302414}
2024-07-11T10:01:15.039398473Z,{"lat":10.743168233903816,"lon":106.63237323994434}
2024-07-11T10:01:16.058067115Z,{"lat":10.743169281641713,"lon":106.63238883028424}
2024-07-11T10:01:17.050109452Z,{"lat":10.743167772899142,"lon":106.63240333097673}
2024-07-11T10:01:18.049994975Z,{"lat":10.743163414309493,"lon":106.63241816694534}
2024-07-11T10:01:19.051003248Z,{"lat":10.743158594715169,"lon":106.6324323323617}
2024-07-11T10:01:20.051168825Z,{"lat":10.743153817030361,"lon":106.63244750360644}
2024-07-11T10:01:21.060214067Z,{"lat":10.743149416531196,"lon":106.63246183666087}
2024-07-11T10:01:22.082345471Z,{"lat":10.743145644674769,"lon":106.63247575062013}
2024-07-11T10:01:23.098059999Z,{"lat":10.743141495632699,"lon":106.63249083804584}
2024-07-11T10:01:24.119189044Z,{"lat":10.743138310509494,"lon":106.63250584165252}
2024-07-11T10:01:25.126549618Z,{"lat":10.74313470629113,"lon":106.63251925269759}
2024-07-11T10:01:26.110797863Z,{"lat":10.743132526996305,"lon":106.63253257992363}
2024-07-11T10:01:27.130356444Z,{"lat":10.743130473430028,"lon":106.63254716443515}
2024-07-11T10:01:28.157927634Z,{"lat":10.743128587501815,"lon":106.6325618327657}
2024-07-11T10:01:29.153562882Z,{"lat":10.743123809817007,"lon":106.63257507617271}
2024-07-11T10:01:30.170235056Z,{"lat":10.74311811012285,"lon":106.63258840339876}
2024-07-11T10:01:31.178177106Z,{"lat":10.743111865604988,"lon":106.63260156298674}
2024-07-11T10:01:32.179538718Z,{"lat":10.743104489530197,"lon":106.63261371674633}
2024-07-11T10:01:33.178189091Z,{"lat":10.743095017979613,"lon":106.63262595432496}
2024-07-11T10:01:34.18609074Z,{"lat":10.743084666329196,"lon":106.63263676698006}
2024-07-11T10:01:35.170053452Z,{"lat":10.74307238684105,"lon":106.63264623853064}
2024-07-11T10:01:36.198075097Z,{"lat":10.743058808157912,"lon":106.63265596153832}
2024-07-11T10:01:37.198160628Z,{"lat":10.7430455647509,"lon":106.63266459489859}
2024-07-11T10:01:38.200128293Z,{"lat":10.743032740439048,"lon":106.63267163569725}
2024-07-11T10:01:39.190210242Z,{"lat":10.743022514517179,"lon":106.63267842503882}
2024-07-11T10:01:40.210078426Z,{"lat":10.743011450404993,"lon":106.6326878965894}
2024-07-11T10:01:41.210847769Z,{"lat":10.74298982509481,"lon":106.63271103064216}
2024-07-11T10:01:42.230779288Z,{"lat":10.742978216158917,"lon":106.63272377113498}
2024-07-11T10:01:43.230398144Z,{"lat":10.74296757114189,"lon":106.632734416152}
2024-07-11T10:01:44.230638982Z,{"lat":10.742957470948568,"lon":106.63274254659808}
2024-07-11T10:01:45.265919316Z,{"lat":10.742945484827032,"lon":106.63275134759641}
2024-07-11T10:01:46.239910578Z,{"lat":10.742934211167267,"lon":106.63275931040442}
2024-07-11T10:01:47.270824055Z,{"lat":10.742922686050406,"lon":106.6327640042702}
2024-07-11T10:01:48.298107749Z,{"lat":10.74291141239064,"lon":106.63276827904082}
2024-07-11T10:01:49.291206589Z,{"lat":10.742897707978955,"lon":106.63276685411728}
2024-07-11T10:01:50.300220701Z,{"lat":10.742881908091476,"lon":106.63276073532796}
2024-07-11T10:01:51.315964027Z,{"lat":10.74286983815091,"lon":106.63275335925317}
2024-07-11T10:01:52.328187792Z,{"lat":10.742858354943564,"lon":106.63274648609257}
2024-07-11T10:01:53.348255032Z,{"lat":10.742844063798657,"lon":106.63273877474165}
2024-07-11T10:01:54.349247119Z,{"lat":10.742828473458758,"lon":106.63273299122847}
2024-07-11T10:01:55.35795373Z,{"lat":10.74281367939966,"lon":106.63273072811461}
2024-07-11T10:01:56.36010471Z,{"lat":10.742800980816355,"lon":106.63272972228623}
2024-07-11T10:01:57.36006267Z,{"lat":10.742791970270446,"lon":106.63273022520042}
2024-07-11T10:01:58.378078287Z,{"lat":10.742780822339228,"lon":106.63273072811461}
2024-07-11T10:01:59.370217625Z,{"lat":10.742767369384637,"lon":106.63273089575267}
2024-07-11T10:02:00.390983526Z,{"lat":10.742753874520531,"lon":106.63272972228623}
2024-07-11T10:02:01.391149389Z,{"lat":10.742740170108846,"lon":106.63272729153431}
2024-07-11T10:02:02.410175652Z,{"lat":10.7427252503212,"lon":106.6327241064111}
2024-07-11T10:02:03.410100278Z,{"lat":10.74270936661469,"lon":106.63272075364983}
2024-07-11T10:02:04.420328241Z,{"lat":10.74269277044641,"lon":106.6327172332505}
2024-07-11T10:02:05.42814086Z,{"lat":10.742677263925543,"lon":106.63271354521311}
2024-07-11T10:02:06.440202478Z,{"lat":10.742664230066111,"lon":106.63270943808055}
2024-07-11T10:02:07.44017174Z,{"lat":10.742649184549919,"lon":106.63270499567187}
2024-07-11T10:02:08.468176261Z,{"lat":10.742634767676464,"lon":106.63270172672964}
2024-07-11T10:02:09.461418168Z,{"lat":10.742621482359937,"lon":106.63269912833965}
2024-07-11T10:02:10.476450039Z,{"lat":10.742609370509854,"lon":106.63269803869224}
2024-07-11T10:02:11.488470035Z,{"lat":10.742597342478803,"lon":106.63269585939742}
2024-07-11T10:02:12.49808824Z,{"lat":10.742584350528887,"lon":106.63269300955034}
2024-07-11T10:02:13.510383909Z,{"lat":10.742570604207685,"lon":106.63269041116035}
2024-07-11T10:02:14.538335492Z,{"lat":10.742555432962945,"lon":106.63268404091394}
2024-07-11T10:02:15.540839166Z,{"lat":10.742541351365617,"lon":106.6326757428298}
2024-07-11T10:02:16.531746603Z,{"lat":10.74252877851086,"lon":106.63266987549758}
2024-07-11T10:02:17.552805372Z,{"lat":10.742516499022713,"lon":106.63266367288924}
2024-07-11T10:02:18.572177556Z,{"lat":10.742504931996336,"lon":106.63265931429959}
2024-07-11T10:02:19.571792912Z,{"lat":10.742491185675135,"lon":106.63265478807187}
2024-07-11T10:02:20.59983997Z,{"lat":10.742478529001346,"lon":106.63265160294867}
2024-07-11T10:02:21.592087229Z,{"lat":10.74246725534158,"lon":106.63264732817805}
2024-07-11T10:02:22.610011217Z,{"lat":10.74245623313891,"lon":106.63264330486453}
2024-07-11T10:02:23.62965376Z,{"lat":10.742443953650763,"lon":106.63263844336069}
2024-07-11T10:02:24.621638392Z,{"lat":10.742428782406023,"lon":106.63263391713298}
2024-07-11T10:02:25.65074205Z,{"lat":10.742412479604354,"lon":106.6326292232672}
2024-07-11T10:02:26.647837904Z,{"lat":10.742397266450098,"lon":106.63262587050593}
2024-07-11T10:02:27.639921281Z,{"lat":10.74237974827247,"lon":106.63262293683982}
2024-07-11T10:02:28.649723861Z,{"lat":10.742360972809365,"lon":106.63261799151695}
2024-07-11T10:02:29.671960416Z,{"lat":10.742344586188665,"lon":106.6326136329273}
2024-07-11T10:02:30.679627461Z,{"lat":10.742329875948599,"lon":106.63261455493665}
2024-07-11T10:02:31.701794988Z,{"lat":10.7423116453092,"lon":106.6326117889086}
2024-07-11T10:02:32.713079285Z,{"lat":10.742293833764961,"lon":106.63260810087121}
2024-07-11T10:02:33.731933723Z,{"lat":10.742276902320555,"lon":106.63260139534867}
2024-07-11T10:02:34.741832642Z,{"lat":10.74225934223341,"lon":106.63259561183548}
2024-07-11T10:02:35.742133983Z,{"lat":10.742242829884162,"lon":106.63259393545485}
2024-07-11T10:02:36.769594743Z,{"lat":10.742227239544263,"lon":106.63259175616002}
2024-07-11T10:02:37.782453788Z,{"lat":10.74221290648984,"lon":106.63258949304617}
2024-07-11T10:02:38.781553315Z,{"lat":10.742199411625734,"lon":106.63258647556103}
2024-07-11T10:02:39.781607571Z,{"lat":10.742185874852112,"lon":106.63258329043782}
2024-07-11T10:02:40.788049989Z,{"lat":10.742175229835084,"lon":106.63258052440978}
2024-07-11T10:02:41.7896115Z,{"lat":10.74216403999435,"lon":106.63257800983882}
2024-07-11T10:02:42.800126888Z,{"lat":10.742151341411045,"lon":106.63257465707756}
2024-07-11T10:02:43.811981589Z,{"lat":10.74213793036597,"lon":106.63257197486854}
2024-07-11T10:02:44.831653351Z,{"lat":10.742124561230412,"lon":106.63256786773599}
2024-07-11T10:02:45.831738187Z,{"lat":10.742110144356957,"lon":106.63256459879375}
2024-07-11T10:02:46.842071493Z,{"lat":10.742091075527242,"lon":106.63256258713699}
2024-07-11T10:02:47.841825166Z,{"lat":10.742072719159296,"lon":106.63256007256604}
2024-07-11T10:02:48.84245596Z,{"lat":10.74205578771489,"lon":106.63255797709024}
2024-07-11T10:02:49.841906351Z,{"lat":10.742038646722904,"lon":106.63255563015736}
2024-07-11T10:02:50.842395394Z,{"lat":10.742024104120901,"lon":106.63255294794834}
2024-07-11T10:02:51.862399904Z,{"lat":10.7420077175002,"lon":106.63254909227288}
2024-07-11T10:02:52.862149761Z,{"lat":10.741991666155627,"lon":106.63254548805452}
2024-07-11T10:02:53.881646331Z,{"lat":10.741976117725244,"lon":106.63254431458807}
2024-07-11T10:02:54.901801505Z,{"lat":10.741961658942273,"lon":106.63254213529325}
2024-07-11T10:02:55.892024578Z,{"lat":10.741947954530588,"lon":106.63253827961779}
2024-07-11T10:02:56.922875266Z,{"lat":10.741935339766314,"lon":106.63253266374267}
2024-07-11T10:02:57.931692271Z,{"lat":10.741923395554295,"lon":106.63252646113432}
2024-07-11T10:02:58.932086221Z,{"lat":10.74191212189453,"lon":106.63252235400176}
2024-07-11T10:02:59.941775299Z,{"lat":10.741901854063144,"lon":106.63251891742146}
2024-07-11T10:03:00.95238053Z,{"lat":10.741890706131926,"lon":106.63251455883182}
2024-07-11T10:03:01.949512745Z,{"lat":10.741879097196033,"lon":106.63250969732798}
2024-07-11T10:03:02.971738251Z,{"lat":10.741865937608054,"lon":106.63250617692864}
2024-07-11T10:03:03.964135509Z,{"lat":10.741854705857804,"lon":106.63250559019542}
2024-07-11T10:03:04.952197483Z,{"lat":10.741845024759641,"lon":106.6325050034622}
2024-07-11T10:03:05.970170613Z,{"lat":10.74183643330889,"lon":106.63250357853866}
2024-07-11T10:03:06.971855097Z,{"lat":10.741824950101545,"lon":106.6325034109006}
2024-07-11T10:03:07.992006025Z,{"lat":10.7418134668942,"lon":106.6325034109006}
2024-07-11T10:03:09.010525024Z,{"lat":10.741800558763316,"lon":106.63250072869158}
2024-07-11T10:03:10.01091728Z,{"lat":10.74178605807083,"lon":106.63249511281646}
2024-07-11T10:03:11.002527008Z,{"lat":10.741774030039778,"lon":106.63248823965586}
2024-07-11T10:03:12.022155815Z,{"lat":10.741758774976006,"lon":106.63248203704751}
2024-07-11T10:03:13.036329636Z,{"lat":10.741743394183686,"lon":106.63247717554367}
2024-07-11T10:03:14.050888242Z,{"lat":10.741728725853136,"lon":106.6324738227824}
2024-07-11T10:03:15.033168326Z,{"lat":10.741714644255808,"lon":106.6324703862021}
2024-07-11T10:03:16.022068965Z,{"lat":10.741700688387027,"lon":106.63247055384016}
2024-07-11T10:03:17.051685627Z,{"lat":10.741689875731936,"lon":106.63247600207723}
2024-07-11T10:03:18.051973181Z,{"lat":10.741682499657145,"lon":106.632485976542}
2024-07-11T10:03:19.069866478Z,{"lat":10.741678434434107,"lon":106.63249771120644}
2024-07-11T10:03:20.082066551Z,{"lat":10.741676758053472,"lon":106.63250927823282}
2024-07-11T10:03:21.091852828Z,{"lat":10.74167566840606,"lon":106.63252017470694}
2024-07-11T10:03:22.113459042Z,{"lat":10.741672441373339,"lon":106.63252989771462}
2024-07-11T10:03:23.143555124Z,{"lat":10.741666196855475,"lon":106.63254163237906}
2024-07-11T10:03:24.141738921Z,{"lat":10.741658569323588,"lon":106.63255529488123}
2024-07-11T10:03:25.151633559Z,{"lat":10.741651025610734,"lon":106.6325673648218}
2024-07-11T10:03:26.141560214Z,{"lat":10.741643817174007,"lon":106.63258094350493}
2024-07-11T10:03:27.167935594Z,{"lat":10.741637488837112,"lon":106.63259418691194}
2024-07-11T10:03:28.141978748Z,{"lat":10.741630112762321,"lon":106.6326088552425}
2024-07-11T10:03:29.161706258Z,{"lat":10.741624245430101,"lon":106.63262519995368}
2024-07-11T10:03:30.162266124Z,{"lat":10.74162051548319,"lon":106.63263919773198}
2024-07-11T10:03:31.161824274Z,{"lat":10.74161909055965,"lon":106.63265101621545}
2024-07-11T10:03:32.162438817Z,{"lat":10.741617917093206,"lon":106.6326622479657}
2024-07-11T10:03:33.161952973Z,{"lat":10.741619006740619,"lon":106.63267591046787}
2024-07-11T10:03:34.161922613Z,{"lat":10.74161879719304,"lon":106.6326865554849}
2024-07-11T10:03:35.161725964Z,{"lat":10.74161909055965,"lon":106.63269359628356}
2024-07-11T10:03:36.171831004Z,{"lat":10.741617707545627,"lon":106.63270331929124}
2024-07-11T10:03:37.173295955Z,{"lat":10.74161758181708,"lon":106.63271664651728}
2024-07-11T10:03:38.191589513Z,{"lat":10.741618755283524,"lon":106.63272980610526}
2024-07-11T10:03:39.19248965Z,{"lat":10.741618210459817,"lon":106.63274581554032}
2024-07-11T10:03:40.192059294Z,{"lat":10.741614606241454,"lon":106.63276232788957}
2024-07-11T10:03:41.201121861Z,{"lat":10.741611840213407,"lon":106.63277992988623}
2024-07-11T10:03:42.201989486Z,{"lat":10.741609702828098,"lon":106.63279744806385}
2024-07-11T10:03:43.201975242Z,{"lat":10.741609660918582,"lon":106.63281664262212}
2024-07-11T10:03:44.202097983Z,{"lat":10.741610373380352,"lon":106.63283952521778}
2024-07-11T10:03:45.212785089Z,{"lat":10.741611337299217,"lon":106.63286517384148}
2024-07-11T10:03:46.211780191Z,{"lat":10.741611337299217,"lon":106.63286517384148}
2024-07-11T10:03:47.211804491Z,{"lat":10.741607523533274,"lon":106.63287749523914}
2024-07-11T10:03:48.231954477Z,{"lat":10.741592729474176,"lon":106.63289970728255}
2024-07-11T10:03:49.24994029Z,{"lat":10.741585353399385,"lon":106.63291110667086}
2024-07-11T10:03:50.241904484Z,{"lat":10.74157701340573,"lon":106.63292191932595}
2024-07-11T10:03:51.251770304Z,{"lat":10.741568086678852,"lon":106.63293298343814}
2024-07-11T10:03:52.263058429Z,{"lat":10.741560459146966,"lon":106.63294128152228}
2024-07-11T10:03:53.27215656Z,{"lat":10.741552747796048,"lon":106.63294999870158}
2024-07-11T10:03:54.291887806Z,{"lat":10.74154403061675,"lon":106.63295947025216}
2024-07-11T10:03:55.301766783Z,{"lat":10.741537283184696,"lon":106.63296952853597}
2024-07-11T10:03:56.310215323Z,{"lat":10.74153108057635,"lon":106.6329799220959}
2024-07-11T10:03:57.302112069Z,{"lat":10.741525255153645,"lon":106.63299165676034}
2024-07-11T10:03:58.321751528Z,{"lat":10.741519513549973,"lon":106.63300615745283}
2024-07-11T10:03:59.341632207Z,{"lat":10.74151276611792,"lon":106.63301923322177}
2024-07-11T10:04:00.341927212Z,{"lat":10.741506437781025,"lon":106.63303004587686}
2024-07-11T10:04:01.341730148Z,{"lat":10.741500905724932,"lon":106.63304136144615}
2024-07-11T10:04:02.34181105Z,{"lat":10.741494535478521,"lon":106.63305494012928}
2024-07-11T10:04:03.343372574Z,{"lat":10.741488332870174,"lon":106.63307019519306}
2024-07-11T10:04:04.342126722Z,{"lat":10.741482675085534,"lon":106.63308427679038}
2024-07-11T10:04:05.351896751Z,{"lat":10.741478987048138,"lon":106.63309584381676}
2024-07-11T10:04:06.359923757Z,{"lat":10.741474879915584,"lon":106.63310632119573}
2024-07-11T10:04:07.37799646Z,{"lat":10.741471527154316,"lon":106.63311721766985}
2024-07-11T10:04:08.371887637Z,{"lat":10.741468593488205,"lon":106.63312425846851}
2024-07-11T10:04:09.38222365Z,{"lat":10.741466665650476,"lon":106.6331300419817}
2024-07-11T10:04:10.412604918Z,{"lat":10.741462432789374,"lon":106.63313515494264}
2024-07-11T10:04:11.431369051Z,{"lat":10.741459163847138,"lon":106.63314236337936}
2024-07-11T10:04:12.429829512Z,{"lat":10.741455727266837,"lon":106.63315158347285}
2024-07-11T10:04:13.451856369Z,{"lat":10.741453003148306,"lon":106.63316541361309}
2024-07-11T10:04:14.442880984Z,{"lat":10.741451494405736,"lon":106.63318058485783}
2024-07-11T10:04:15.454086361Z,{"lat":10.741451033401061,"lon":106.6331958399216}
2024-07-11T10:04:16.473920723Z,{"lat":10.741449357020427,"lon":106.63320816131926}
2024-07-11T10:04:17.481827221Z,{"lat":10.741449818025101,"lon":106.63321939306951}
